Service,Voyage,Booking Number,Cntr Number,VGM Y/N
CENTRAL EXPRESS,GTB0524,S3-26666184,GCNU4722684,N
CENTRAL EXPRESS,GTB0524,S3-26714478,ACLU9677497,N
CENTRAL EXPRESS,GTB0524,S3-26793629,GCNU1433121,N
CENTRAL EXPRESS,GTB0524,S3-26793629,GCNU1386159,N
CENTRAL EXPRESS,GTB0524,S3-26681710,GCNU4780269,N
CENTRAL EXPRESS,GTB0524,S3-26681710,GCNU4763765,N
CENTRAL EXPRESS,GTB0524,S3-26681710,ACLU9682554,N
CENTRAL EXPRESS,GTB0524,S3-26681710,GCNU4792948,N
CENTRAL EXPRESS,GTB0524,S3-26681710,GCNU4795119,N
CENTRAL EXPRESS,GTB0524,S3-26681710,GCNU4806722,N
CENTRAL EXPRESS,GTB0524,S3-26681710,GCNU4758286,N
CENTRAL EXPRESS,GTB0524,S3-26681710,ACLU9809295,N
CENTRAL EXPRESS,GTB0524,S3-26681710,ACLU9690077,N
CENTRAL EXPRESS,GTB0524,S3-26681710,ACLU9680968,N
CENTRAL EXPRESS,GTB0524,S3-26681735,ACLU9672983,N
CENTRAL EXPRESS,GTB0524,S3-26681735,ACLU9693878,N
CENTRAL EXPRESS,GTB0524,S3-26681735,ACLU9720628,N
CENTRAL EXPRESS,GTB0524,S3-26681735,ACLU9743937,N
CENTRAL EXPRESS,GTB0524,S3-26681735,ACLU9759722,N
CENTRAL EXPRESS,GTB0524,S3-26681735,ACLU9771456,N
CENTRAL EXPRESS,GTB0524,S3-26681735,GCNU4767708,N
CENTRAL EXPRESS,GTB0524,S3-26681735,GCNU4781199,N
CENTRAL EXPRESS,GTB0524,S3-26681735,GCNU4799407,N
CENTRAL EXPRESS,GTB0524,S3-26681735,GCNU4803240,N
CENTRAL EXPRESS,GTB0524,S3-26681769,ACLU9705916,N
CENTRAL EXPRESS,GTB0524,S3-26681769,ACLU9725569,N
CENTRAL EXPRESS,GTB0524,S3-26681769,GCNU4811380,N
CENTRAL EXPRESS,GTB0524,S3-26681769,ACLU9715004,N
CENTRAL EXPRESS,GTB0524,S3-26681769,GCNU4718318,N
CENTRAL EXPRESS,GTB0524,S3-26681769,GCNU4766403,N
CENTRAL EXPRESS,GTB0524,S3-26681769,ACLU9830477,N
CENTRAL EXPRESS,GTB0524,S3-26681769,ACLU9703148,N
CENTRAL EXPRESS,GTB0524,S3-26681769,ACLU9764945,N
CENTRAL EXPRESS,GTB0524,S3-26681769,ACLU9702901,N
CENTRAL EXPRESS,GTB0524,S3-26753497,ACLU9719463,N
CENTRAL EXPRESS,GTB0524,S3-26753497,GCNU4760180,N
CENTRAL EXPRESS,GTB0524,S3-26753497,ACLU9697683,N
CENTRAL EXPRESS,GTB0524,S3-26753497,GCNU4773233,N
CENTRAL EXPRESS,GTB0524,S3-26753497,GCNU4751260,N
CENTRAL EXPRESS,GTB0524,S3-26753497,GCNU4793688,N
CENTRAL EXPRESS,GTB0524,S3-26753497,ACLU9679571,N
CENTRAL EXPRESS,GTB0524,S3-26753497,ACLU9725189,N
CENTRAL EXPRESS,GTB0524,S3-26753497,ACLU9792417,N
CENTRAL EXPRESS,GTB0524,S3-26753497,GCNU4805705,N
CENTRAL EXPRESS,GTB0524,S3-26755906,ACLU9713887,N
CENTRAL EXPRESS,GTB0524,S3-26755906,GCNU4823150,N
CENTRAL EXPRESS,GTB0524,S3-26755906,ACLU9717861,N
CENTRAL EXPRESS,GTB0524,S3-26755906,ACLU9720802,N
CENTRAL EXPRESS,GTB0524,S3-26755906,ACLU9802433,N
CENTRAL EXPRESS,GTB0524,S3-26755906,ACLU9716654,N
CENTRAL EXPRESS,GTB0524,S3-26755906,ACLU9824772,N
CENTRAL EXPRESS,GTB0524,S3-26755906,ACLU9785207,N
CENTRAL EXPRESS,GTB0524,S3-26755906,ACLU9798800,N
CENTRAL EXPRESS,GTB0524,S3-26755906,ACLU9719587,N
CENTRAL EXPRESS,GTB0524,S3-26755976,ACLU9776910,N
CENTRAL EXPRESS,GTB0524,S3-26755976,GCNU4739542,N
CENTRAL EXPRESS,GTB0524,S3-26755976,ACLU9714646,N
CENTRAL EXPRESS,GTB0524,S3-26755976,GCNU4810907,N
CENTRAL EXPRESS,GTB0524,S3-26755976,ACLU9681650,N
CENTRAL EXPRESS,GTB0524,S3-26755976,ACLU9674749,N
CENTRAL EXPRESS,GTB0524,S3-26755976,ACLU9701778,N
CENTRAL EXPRESS,GTB0524,S3-26755976,ACLU9733380,N
CENTRAL EXPRESS,GTB0524,S3-26755976,ACLU9810634,N
CENTRAL EXPRESS,GTB0524,S3-26755976,GCNU4781753,N
CENTRAL EXPRESS,GTB0524,S3-26781429,GCNU1402500,N
CENTRAL EXPRESS,GTB0524,S3-26667964,GCNU1364566,N
CENTRAL EXPRESS,GTB0524,S3-26681559,GCNU4739060,N
CENTRAL EXPRESS,GTB0524,S3-26681559,ACLU9674939,N
CENTRAL EXPRESS,GTB0524,S3-26681559,ACLU9705135,N
CENTRAL EXPRESS,GTB0524,S3-26681559,ACLU9710337,N
CENTRAL EXPRESS,GTB0524,S3-26681559,ACLU9680490,N
CENTRAL EXPRESS,GTB0524,S3-26681559,GCNU4726885,N
CENTRAL EXPRESS,GTB0524,S3-26681559,GCNU4767267,N
CENTRAL EXPRESS,GTB0524,S3-26681559,ACLU9740959,N
CENTRAL EXPRESS,GTB0524,S3-26681559,ACLU9679988,N
CENTRAL EXPRESS,GTB0524,S3-26681559,GCNU4787710,N
CENTRAL EXPRESS,GTB0524,S3-26681603,ACLU9715658,N
CENTRAL EXPRESS,GTB0524,S3-26681603,ACLU9702286,N
CENTRAL EXPRESS,GTB0524,S3-26681603,ACLU9718908,N
CENTRAL EXPRESS,GTB0524,S3-26681603,GCNU4795320,N
CENTRAL EXPRESS,GTB0524,S3-26681603,GCNU4740250,N
CENTRAL EXPRESS,GTB0524,S3-26681603,ACLU9787030,N
CENTRAL EXPRESS,GTB0524,S3-26681603,ACLU9751531,N
CENTRAL EXPRESS,GTB0524,S3-26681603,ACLU9706635,N
CENTRAL EXPRESS,GTB0524,S3-26681603,ACLU9684958,N
CENTRAL EXPRESS,GTB0524,S3-26681603,ACLU9779272,N
CENTRAL EXPRESS,GTB0524,S3-26681637,ACLU9689369,N
CENTRAL EXPRESS,GTB0524,S3-26681637,ACLU9713341,N
CENTRAL EXPRESS,GTB0524,S3-26681637,GCNU4788059,N
CENTRAL EXPRESS,GTB0524,S3-26681637,GCNU4751050,N
CENTRAL EXPRESS,GTB0524,S3-26681637,GCNU4770091,N
CENTRAL EXPRESS,GTB0524,S3-26681637,ACLU9678765,N
CENTRAL EXPRESS,GTB0524,S3-26681637,ACLU9787323,N
CENTRAL EXPRESS,GTB0524,S3-26681637,GCNU4812237,N
CENTRAL EXPRESS,GTB0524,S3-26681637,ACLU9714991,N
CENTRAL EXPRESS,GTB0524,S3-26681637,ACLU9684109,N
CENTRAL EXPRESS,GTB0524,S3-26681672,ACLU9792567,N
CENTRAL EXPRESS,GTB0524,S3-26681672,GCNU4761931,N
CENTRAL EXPRESS,GTB0524,S3-26681672,GCNU4741350,N
CENTRAL EXPRESS,GTB0524,S3-26681672,GCNU4805789,N
CENTRAL EXPRESS,GTB0524,S3-26681672,ACLU9686523,N
CENTRAL EXPRESS,GTB0524,S3-26681672,ACLU9705747,N
CENTRAL EXPRESS,GTB0524,S3-26681672,ACLU9774429,N
CENTRAL EXPRESS,GTB0524,S3-26681672,ACLU9784068,N
CENTRAL EXPRESS,GTB0524,S3-26681672,GCNU4811333,N
CENTRAL EXPRESS,GTB0524,S3-26681672,GCNU4802917,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9699032,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9724686,N
CENTRAL EXPRESS,GTB0524,S3-26681790,GCNU4797359,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9754356,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9742674,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9722404,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9709296,N
CENTRAL EXPRESS,GTB0524,S3-26681790,GCNU4822873,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9700745,N
CENTRAL EXPRESS,GTB0524,S3-26681790,GCNU4809439,N
CENTRAL EXPRESS,GTB0524,S3-26753551,GCNU4756719,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9788206,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9688779,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9684285,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9702882,N
CENTRAL EXPRESS,GTB0524,S3-26753551,GCNU4770553,N
CENTRAL EXPRESS,GTB0524,S3-26753551,GCNU4774610,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9802454,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9671312,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9694489,N
CENTRAL EXPRESS,GTB0524,S3-26753617,GCNU4808854,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9679930,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9757782,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9717162,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9685569,N
CENTRAL EXPRESS,GTB0524,S3-26753617,GCNU4786523,N
CENTRAL EXPRESS,GTB0524,S3-26753617,GCNU4803528,N
CENTRAL EXPRESS,GTB0524,S3-26753617,GCNU4736369,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9808730,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9803213,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9767461,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9820360,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9772832,N
CENTRAL EXPRESS,GTB0524,S3-26753633,GCNU4726972,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9792438,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9771986,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9767760,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9764760,N
CENTRAL EXPRESS,GTB0524,S3-26753633,GCNU4819099,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9757550,N
CENTRAL EXPRESS,GTB0524,S3-26753919,ACLU9760446,N
CENTRAL EXPRESS,GTB0524,S3-26753919,GCNU4743624,N
CENTRAL EXPRESS,GTB0524,S3-26753919,ACLU9712176,N
CENTRAL EXPRESS,GTB0524,S3-26753919,GCNU4776551,N
CENTRAL EXPRESS,GTB0524,S3-26753938,ACLU9692845,Y
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9763126,N
CENTRAL EXPRESS,GTB0524,S3-26756001,GCNU4823437,N
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9757416,N
CENTRAL EXPRESS,GTB0524,S3-26756001,GCNU4760431,N
CENTRAL EXPRESS,GTB0524,S3-26756001,GCNU4814245,N
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9709640,N
CENTRAL EXPRESS,GTB0524,S3-26756001,GCNU4806492,N
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9686755,N
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9826461,N
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9679397,N
CENTRAL EXPRESS,GTB0524,S3-26761918,GCNU4757382,N
CENTRAL EXPRESS,GTB0524,S3-26761918,GCNU4778488,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9670954,N
CENTRAL EXPRESS,GTB0524,S3-26761918,GCNU4754104,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9671879,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9720633,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9762238,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9792274,N
CENTRAL EXPRESS,GTB0524,S3-26761918,GCNU4720486,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9755012,N
CENTRAL EXPRESS,GTB0524,S3-26792672,GCNU1428320,N
CENTRAL EXPRESS,GTB0524,S3-26792672,GCNU1426225,N
CENTRAL EXPRESS,GTB0524,S3-26792672,GCNU1421706,N
CENTRAL EXPRESS,GTB0524,S3-26768165,GCNU1326308,N
CENTRAL EXPRESS,GTB0524,S3-26771121,GCNU1282386,N
CENTRAL EXPRESS,GTB0524,S3-26774112,GCNU1276260,N
CENTRAL EXPRESS,GTB0524,S3-26774124,ACLU2800866,N
CENTRAL EXPRESS,GTB0524,S3-26774769,GCNU1396630,N
CENTRAL EXPRESS,GTB0524,S3-26794842,GCNU1429287,N
CENTRAL EXPRESS,GTB0524,S3-26167195,GCNU1396985,N
CENTRAL EXPRESS,GTB0524,S3-26183865,GCNU1291367,N
CENTRAL EXPRESS,GTB0524,S3-26471894,GCNU1412880,N
CENTRAL EXPRESS,GTB0524,S3-26697993,GCNU1436394,N
CENTRAL EXPRESS,GTB0524,S3-26784643,GCNU1334535,N
CENTRAL EXPRESS,GTB0524,S3-26787337,GCNU1280892,N
CENTRAL EXPRESS,GTB0524,S3-26792303,ACLU9697739,N
CENTRAL EXPRESS,GTB0524,S3-26794836,GCNU4742021,N
